District Name,website,details,all_children,location,dates_closed – start_date,dates_closed – end_date,dates_closed – indefinitely,breakfast,lunch,dinner,meal_delivery – curbside meal pickup,meal_delivery – walk-in meal pickup,meal_delivery – pending or unspecified,meal_delivery – meal delivery,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3,address,latitude,longitude,gmaps_name,gmaps_id
Bandera ISD,https://www.banderaisd.net/apps/news/article/1184502,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Bandera Independent School District, TX, USA",29.7098738,-99.05710889999999,Bandera Independent School District,3b0592f566ba14811df091857ca6e6ce7536c9c8
Bangs ISD,https://www.bangsisd.net,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Bangs Independent School District, TX, USA",31.7999611,-99.14561529999999,Bangs Independent School District,c18f56d4b94cb4b1a04364c9ae8f1144f4982650
Barbers Hill ISD,,,False,,2020-03-01,2021-03-01,True,False,False,False,False,False,False,False,,,,,,,"Barbers Hill Independent School District, TX, USA",29.8166014,-94.8313257,Barbers Hill Independent School District,ee945ff816ca12feb673b09ee5e266a0f03f1818
Bastrop ISD,https://www.bisdtx.org/cms/lib/TX02218757/Centricity/Domain/2911/FAMILY%20-%20Closure%20Notice%203-16-20.pdf,,False,,2020-03-16,2020-04-05,False,False,False,False,False,False,True,False,,,,,,,"Bastrop Independent School District, TX, USA",30.0894033,-97.394882,Bastrop Independent School District,270fca9f1671b3669106b561d2875f6b26c3c49b
Bells ISD,https://www.bellsisd.net/,Details: Breakfast,False,"Bells Elementary, Panther Apartments on McFarland, Bells City Hall, Housing close to park on Jernigan",2020-03-16,2020-04-03,False,True,True,False,True,False,False,False,,,,,,,"Bells Independent School District, TX, USA",33.6518637,-96.429036,Bells Independent School District,df6dbab9fba167d014d3feccbe032ba29cc4213c
Belton ISD,https://www.facebook.com/BeltonISD/photos/rpp.96620621358/10157591187411359/?type=3&theater,Details:  All students,False,"Miller Heights Elementary, Joe M. Pirtle Elementary School and BISD Southwest Elementary.                                                                 Details",2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,7:30 AM,9:00 AM,11:30 AM,1:00 PM,,,"Belton Independent School District, TX, USA",31.1128911,-97.5030669,Belton Independent School District,e87d45fc1135c79c9e1a351ced45e17c58199353
Belville ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Bellville Independent School District, TX, USA",29.95921139999999,-96.365157,Bellville Independent School District,f89721d8ba4604cb9ac98898f584122c9009d15b
Big Sandy ISD,http://www.bigsandyisd.org/,,False,,2020-03-16,2020-03-27,False,False,False,False,False,False,False,False,,,,,,,"Big Sandy Independent School District, TX, USA",32.6381965,-95.0806918,Big Sandy Independent School District,ab1a1bba74b0033cae467f1f4f8bd20e8f02d58a
Birdville ISD,https://www.birdvilleschools.net/covid19FreeMeals,Details:  BISD will provide pickup stations in front of the listed schools at the listed time for anyone age,False,"Birdville Elementary, Binion Elementary, West Bridville Elementary, and Watauga Elementary",2020-03-16,2020-04-03,False,False,True,False,True,False,False,False,11:00 AM,12:00 PM,,,,,"Birdville Independent School District, TX, USA",32.8468348,-97.24371049999999,Birdville Independent School District,ddeff67bb5cff0b3e9943677dd6039086e4374e1
Bishop Gorman ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"503 Second St, Gorman, TX 76454, United States",32.2087649,-98.67550999999999,Gorman Independent School District,855824699e2ae475e25b0008b204c642c01bb9c4
Blanket ISD,http://www.blanketisd.net,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Blanket Independent School District, TX, USA",31.8249486,-98.7921836,Blanket Independent School District,775c2fd15b88467d1e59be0ead786617021dbaff
Bloomburg ISD,https://www.bloomburgisd.net/21165_1,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Bloomburg Independent School District, TX, USA",33.1584893,-94.0797673,Bloomburg Independent School District,88cf133e90232083a28f59ac551666e392cc353e
Blooming Grove,https://www.bgisd.org/apps/news/article/1184226,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Blooming Grove, TX 76626, USA",32.0920967,-96.715825,Blooming Grove,5f8f015d282fba1c7d07840aa95247b089dde006
Boerne ISD,https://www.boerneisd.net/,Details:  Meals will be given to children and families.,False,Boerne MS South and Curington ES.                                                                                                                                                               Details,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,7:00 AM,8:00 AM,11:00 AM,12:00 PM,,,"Boerne Independent School District, TX, USA",29.8255265,-98.70407499999999,Boerne Independent School District,90c0a9f1cbdc3a7c188421ba1d6b48bc8e5092a4
Bosqueville ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,,"Bosqueville Independent School District, TX 76708, USA",31.6185967,-97.2113605,Bosqueville Independent School District,edbe7c699b6348d9e734584eefc7b590c78ee08b
Bonham ISD,,,False,Bonham High School,2020-03-16,2020-04-03,False,False,True,False,False,False,True,False,11:00 AM,1:00 PM,,,,,"Bonham Independent School District, TX, USA",33.5310615,-96.17391160000001,Bonham Independent School District,d587c645c5149266009dec79f1e05608643a0d11
Brackett ISD,,Details: Lunch will be served on a to-go basis for students and families to pick up at Cafeteria.,False,Cafeteria,2020-03-16,2020-03-20,False,False,True,False,False,True,False,False,11:00 AM,1:00 PM,,,,,"Brackett Independent School District, TX, USA",29.2934865,-100.3497895,Brackett Independent School District,d8a5789850132488e7a2b8aafa38cf18608b30c9
