District Name,website,details,all_children,location,dates_closed – start_date,dates_closed – end_date,dates_closed – indefinitely,breakfast,lunch,dinner,meal_delivery – curbside meal pickup,meal_delivery – walk-in meal pickup,meal_delivery – pending or unspecified,meal_delivery – meal delivery,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3
Magnolia ISD,https://www.magnoliaisd.org/apps/news/article/1184405?fbclid=IwAR3TPhH1OjBLqOwXxz2GzM3S5lepnWcrbpL-n4kFAwqjZFemLITo_L-6XmI,,True,Magnolia Elementary School,2020-03-16,2020-03-20,False,True,True,False,True,False,False,False,9:00 AM,11:00 AM,,,,
Malakof ISD,https://www.malakoffisd.org/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Malone ISD,https://www.maloneisd.org/34074?articleID=50400,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Manor ISD,https://www.facebook.com/manorisd/,Details: Curbside lunch meals will be provided for each child in the vehicle. Families are advised to stay in their cars and not enter buildings during meal pick up. Meals will be provided Monday through Friday starting on March,False,"Manor New Tech High School, Blake Manor Elementary and Decker Elementary",2020-03-16,2020-03-27,False,False,True,False,True,False,False,False,11:00 AM,12:30 PM,,,,
Mansfield ISD,https://resources.finalsite.net/images/v1584154338/mansfieldisd/usshuxy5mxizmg4eqfau/MISDCoronavirusClosureDetails-March13.pdf,Details: Free healthy,True,"Glenn Harmon Elementary School, D.P. Morris Elementary School, Annette Perry Elementary School, Mary Jo Sheppard Elementary School, Della Icenhower Intermediate School, Danny Jones Middle School",2020-03-16,2020-04-03,False,False,True,False,True,False,False,False,11:00 AM,12:00 PM,,,,
Marlin ISD,https://www.marlinisd.org/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,True,False,,,,,,
Marion ISD,http://www.marionisd.net/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Marshall ISD,https://www.marshallisd.com/news/district_news/district_closed,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Martinsville ISD,http://www.martinsvilleisd.com/,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Mason  ISD,http://www.masonisd.net,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
Matagorda ISD,,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,True,False,,,,,,
May ISD,http://www.mayisd.com,,False,,2020-03-16,2020-03-20,False,False,False,False,False,False,False,False,,,,,,
McAllen ISD,https://www.mcallenisd.org/apps/pages/coronavirus,Details: MEALS,False,All District School Campuses,2020-03-16,2020-04-03,False,True,True,False,True,False,False,False,11:30 AM,12:30 PM,,,,
